Title,Genre,User Rating,Number of Votes,Runtime,Year,Stars,Certificate,Metascore,Gross,Episode,Episode Title
Psycho-Pass,"Animation, Action, Crime",8.2,"21,134",25 min,(2012– ),"Kana Hanazawa,Miyuki Sawashiro,Noriko Hidaka,Shizuka Itou",TV-MA,,21134,0,
Highschool of the Dead,"Animation, Action, Drama",7.2,"14,695",24 min,-2010,"Jun'ichi Suwabe,Eri Kitamura,Nobuyuki Hiyama,Hitomi Harada",TV-MA,,14695,0,
Fullmetal Alchemist,"Animation, Action, Adventure",8.5,"74,876",24 min,(2003–2004),"Vic Mignogna,Aaron Dismuke,Romi Park,Rie Kugimiya",TV-PG,,74876,0,
Fire Force,"Animation, Action, Drama",7.6,"9,806",23 min,(2019– ),"Derick Snow,Alexis Tipton,Eric Vale,Jeremy Inman",TV-14,,9806,0,
Gargoyles: The Goliath Chronicles,"Animation, Action, Adventure",8,"17,845",30 min,(1994–1997),"Keith David,Salli Richardson-Whitfield,Jeff Bennett,Frank Welker",TV-Y7,,17845,0,
86,"Animation, Action, Drama",8.2,"6,503",24 min,(2021–2022),"Suzie Yeung,Billy Kametz,Maureen Price,Shoya Chiba",TV-14,,6503,0,
Porco Rosso,"Animation, Adventure, Comedy",7.7,"96,377",94 min,-1992,,PG,83,96377,0,
Black Lagoon,"Animation, Action, Adventure",7.9,"16,859",25 min,-2006,"Megumi Toyoguchi,Daisuke Namikawa,Brad Swaile,Maryke Hendrikse",TV-MA,,16859,0,
The Secret World of Arrietty,"Animation, Adventure, Drama",7.6,"98,939",94 min,-2010,,G,80,98939,0,
Sonic Prime,"Animation, Action, Adventure",7.3,"2,066",22 min,(2022– ),"Deven Christian Mack,Ashleigh Ball,Vincent Tong,Kazumi Evans",TV-Y7,,2066,0,
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"Animation, Action, Adventure",7.3,"8,585",110 min,-2023,,R,,8585,0,
Samurai Champloo,"Animation, Action, Adventure",8.6,"52,784",24 min,(2004–2005),"Kazuya Nakai,Ginpei Sato,Ayako Kawasumi,Steve Blum",TV-MA,,52784,0,
