Title,Genre,User Rating,Number of Votes,Runtime,Year,Stars,Certificate,Metascore,Gross,Episode,Episode Title
Is It Wrong to Try to Pick Up Girls in a Dungeon?,"Animation, Action, Adventure",7.4,"9,589",24 min,(2015– ),"Bryson Baugus,Yoshitsugu Matsuoka,Maaya Uchida,Luci Christian",TV-14,,9589,0,
Inuyasha,"Animation, Action, Adventure",7.9,"17,281",24 min,(2000–2004),"Kappei Yamaguchi,Richard Ian Cox,Sarah Hauser,Darren Pleavin",TV-14,,17281,0,
Rurouni Kenshin,"Animation, Action, Adventure",8.5,"20,084",24 min,(1996–1998),"Mayo Suzukaze,Dorothy Elias-Fahn,Richard Cansino,Rebecca Forstadt",TV-14,,20084,0,
Fighting Spirit,"Animation, Action, Comedy",8.8,"8,486",20 min,(2000–2002),"Steve Staley,Richard Epcar,Grant George,D.C. Douglas",TV-PG,,8486,0,
Konosuba: God's Blessing on This Wonderful World!,"Animation, Adventure, Comedy",7.8,"13,425",24 min,(2016–2023),"Jun Fukushima,Sora Amamiya,Noucky Andriansyah,Rie Takahashi",TV-14,,13425,0,
The Transformers,"Animation, Action, Adventure",8,"23,050",30 min,(1984–1987),"Frank Welker,Peter Cullen,Corey Burton,Christopher Collins",TV-Y7,,23050,0,
Redo of Healer,"Animation, Action, Adventure",6.4,"4,277",24 min,(2021– ),"Yuya Hozumi,Ayano Shibuya,Shizuka Ishigami,Natsuki Aikawa",TV-MA,,4277,0,
Vampire Hunter D: Bloodlust,"Animation, Action, Drama",7.6,"34,182",103 min,-2000,,R,62,34182,0,
One Piece: The Movie,"Animation, Action, Adventure",6.6,"4,481",51 min,-2000,,TV-PG,,4481,0,
The Hobbit,"Animation, Adventure, Family",6.7,"15,649",90 min,(1977 TV Movie),,TV-PG,,15649,0,
"Bastard!! Heavy Metal, Dark Fantasy","Animation, Action, Adventure",6.5,"2,239",25 min,(2022–2023),"Kishô Taniyama,Tomori Kusunoki,Erin Yvette,Nao Tôyama",TV-MA,,2239,0,
Rascal Does Not Dream of Bunny Girl Senpai,"Animation, Drama, Fantasy",8.1,"14,968",24 min,(2018–2019),"Kaito Ishikawa,Asami Seto,Yurika Kubo,Atsumi Tanezaki",TV-PG,,14968,0,
The Rising of the Shield Hero,"Animation, Action, Adventure",7.9,"15,773",24 min,(2019– ),"Kaito Ishikawa,Asami Seto,Billy Kametz,Erica Mendez",TV-14,,15773,0,
Dororo,"Animation, Action, Adventure",8.3,"17,644",30 min,-2019,"Jason Douglas,Rio Suzuki,Mugihito,Chaney Moore",Not Rated,,17644,0,
Black Clover: Sword of the Wizard King,"Animation, Action, Adventure",7.4,"6,594",110 min,-2023,,TV-14,,6594,0,
Hellsing Ultimate,"Animation, Action, Fantasy",8.2,"25,363",50 min,(2006–2012),"Katie Gray,Crispin Freeman,Victoria Harwood,Ralph Lister",Not Rated,,25363,0,
Yu Yu Hakusho: Ghost Files,"Animation, Action, Adventure",8.5,"14,779",24 min,(1992–1995),"Nozomu Sasaki,Justin Cook,Christopher Sabat,Cynthia Cranz",TV-PG,,14779,0,
Super Dragon Ball Heroes,"Animation, Action, Adventure",6.7,"2,970",10 min,(2018– ),"Takeshi Kusao,Ryô Horikawa,Masako Nozawa,Ryûsei Nakao",TV-PG,,2970,0,
Food Wars,"Animation, Comedy, Drama",8.1,"11,502",24 min,(2015–2020),"Kappei Yamaguchi,Yoshitsugu Matsuoka,Minami Takahashi,Maaya Uchida",TV-14,,11502,0,
The Tale of The Princess Kaguya,"Animation, Drama, Family",8,"50,932",137 min,-2013,,PG,89,50932,0,
Kengan Ashura,"Animation, Action, Sport",8,"5,776",24 min,(2019– ),"Tatsuhisa Suzuki,Chô,Yoshitsugu Matsuoka,Junya Enoki",TV-MA,,5776,0,
The Transformers: The Movie,"Animation, Action, Adventure",7.2,"41,244",84 min,-1986,,PG,43,41244,0,
Mulan II,"Animation, Adventure, Comedy",5.6,"28,097",79 min,(2004 Video),,G,,28097,0,
Darling in the Franxx,"Animation, Action, Drama",7.3,"12,552",24 min,-2018,"Yûto Uemura,Kana Ichinose,Nanami Yamashita,Saori Hayami",TV-14,,12552,0,
When Marnie Was There,"Animation, Drama, Family",7.7,"44,875",103 min,-2014,,PG,72,44875,0,
Ooku: The Inner Chambers,"Animation, Drama, Fantasy",7.5,628,30 min,(2023– ),"James Simenc,Steve Blum,Cindy Robinson,Trevor Devall",TV-MA,,628,0,
Barefoot Gen,"Animation, Biography, Drama",8,"8,772",83 min,-1983,,TV-PG,,8772,0,
The Devil Is a Part-Timer!,"Animation, Action, Comedy",7.5,"8,226",24 min,(2013– ),"Josh Grelle,Felecia Angelle,Tia Lynn Ballard,Anthony Bowling",TV-14,,8226,0,
Slam Dunk,"Animation, Comedy, Drama",8.8,"6,805",22 min,(1993–1996),"Hisao Egawa,Eriko Hara,Akiko Hiramatsu,Yukimasa Kishino",TV-PG,,6805,0,
Prison School,"Animation, Comedy",7.6,"6,938",24 min,(2015–2016),"Hiroshi Kamiya,Katsuyuki Konishi,Ken'ichi Suzumura,Daisuke Namikawa",TV-MA,,6938,0,
Redline,"Animation, Action, Sci-Fi",7.5,"16,065",102 min,-2009,,Not Rated,,16065,0,
The Garden of Words,"Animation, Drama, Romance",7.4,"49,703",46 min,-2013,,TV-14,,49703,0,
Nier: Automata Ver1.1a,"Animation, Action, Adventure",7.3,"1,205",23 min,(2023– ),"Yui Ishikawa,Natsuki Hanae,Kaoru Akiyama,Hiroki Yasumoto",TV-14,,1205,0,
Tales from Earthsea,"Animation, Adventure, Fantasy",6.3,"42,375",115 min,-2006,,PG-13,47,42375,0,
Pokémon: The First Movie - Mewtwo Strikes Back,"Animation, Action, Adventure",6.2,"44,853",96 min,-1998,,G,35,44853,0,
Astro Boy,"Animation, Action, Adventure",6.2,"38,760",94 min,-2009,,PG,53,38760,0,
Abominable,"Animation, Adventure, Comedy",7,"41,112",97 min,-2019,,PG,61,41112,0,
Beastars,"Animation, Crime, Drama",7.7,"11,527",23 min,(2019– ),"Chikahiro Kobayashi,Jonah Scott,Lara Jill Miller,Griffin Puatu",TV-MA,,11527,0,
Pokémon Horizons,"Animation, Action, Adventure",8.1,279,24 min,(2023– ),"Minori Suzuki,Megumi Hayashibara,Daiki Yamashita,Taku Yashiro",TV-Y7,,279,0,
Ninja Scroll,"Animation, Action, Adventure",7.8,"39,405",94 min,-1993,,Not Rated,,39405,0,
Fate/Zero,"Animation, Action, Adventure",8.2,"14,139",24 min,(2011–2012),"Ayako Kawasumi,Kari Wahlgren,Sayaka Ôhara,Jôji Nakata",TV-MA,,14139,0,
5 Centimeters per Second,"Animation, Drama, Family",7.5,"61,614",63 min,-2007,,TV-PG,,61614,0,
Ranking of Kings,"Animation, Action, Adventure",8.5,"10,984",23 min,(2021– ),"Hinata Minami,Ayumu Murase,SungWon Cho,Emily Fajardo",TV-14,,10984,0,
Kingdom,"Animation, Action, Drama",8.5,"2,740",25 min,(2012– ),"Masakazu Morita,Jun Fukuyama,Rie Kugimiya,Francesca Calo",TV-MA,,2740,0,
From Up on Poppy Hill,"Animation, Comedy, Drama",7.4,"48,647",91 min,-2011,,PG,71,48647,0,
Gurren Lagann,"Animation, Action, Adventure",8.3,"19,970",24 min,-2007,"Tetsuya Kakihara,Shizuka Itou,Yuri Lowenthal,Marina Inoue",TV-14,,19970,0,
Memories,"Animation, Sci-Fi, Thriller",7.5,"20,197",113 min,-1995,,PG-13,,20197,0,
Evangelion: 3.0+1.01 Thrice Upon a Time,"Animation, Action, Drama",8,"12,785",154 min,-2021,,TV-MA,84,12785,0,
Vampire Hunter D,"Animation, Action, Fantasy",7,"16,840",80 min,-1985,,Not Rated,,16840,0,
Gantz: O,"Animation, Action, Drama",7.1,"16,141",95 min,-2016,,15,,16141,0,
Komi Can't Communicate,"Animation, Comedy, Drama",7.8,"8,308",24 min,(2021– ),"Aoi Koga,Gakuto Kajiwara,Rie Murakawa,Rina Hidaka",TV-14,,8308,0,
Coyote v. Acme,"Animation, Adventure, Comedy",,,98 min,,,PG,,,0,
Digimon: Digital Monsters,"Animation, Action, Adventure",7.4,"22,880",24 min,(1999–2007),"Steve Blum,Mona Marshall,Tifanie Christun,Derek Stephen Prince",TV-Y7,,22880,0,
I Want to Eat Your Pancreas,"Animation, Drama, Family",8,"21,316",109 min,-2018,,Not Rated,,21316,0,
DuckTales,"Animation, Action, Adventure",8,"33,963",23 min,(1987–1990),"Alan Young,Russi Taylor,Terence McGovern,Chuck McCann",TV-G,,33963,0,
Aladdin 2: The Return of Jafar,"Animation, Adventure, Comedy",5.8,"30,610",69 min,(1994 Video),,G,,30610,0,
My Teen Romantic Comedy SNAFU,"Animation, Comedy, Drama",7.9,"8,083",24 min,(2013–2023),"Cat Thomas,Melissa Molano,Takuya Eguchi,Saori Hayami",TV-14,,8083,0,
Summer Time Rendering,"Animation, Drama, Fantasy",8.2,"4,541",25 min,-2022,"Natsuki Hanae,John Choi,Stephen Fu,Merk Nguyen",TV-14,,4541,0,
Treasure Planet,"Animation, Adventure, Family",7.2,"1,27,617",95 min,-2002,,PG,60,127617,0,
Masamune-kun's Revenge,"Animation, Comedy, Drama",6.4,"3,043",24 min,(2017– ),"Monica Rial,Josh Grelle,Caitlin Glass,Morgan Laure",TV-13,,3043,0,
Junji Ito Maniac: Japanese Tales of the Macabre,"Animation, Drama, Horror",6,"3,087",24 min,(2023– ),"Bill Millsap,Dorah Fine,Mike McFarland,Amber Lee Connors",TV-MA,,3087,0,
Kakegurui,"Animation, Drama, Mystery",7.1,"11,830",24 min,(2017–2019),"Saori Hayami,Tatsuya Tokutake,Miyuki Sawashiro,Minami Tanaka",TV-14,,11830,0,
Earwig and the Witch,"Animation, Adventure, Family",4.8,"5,219",82 min,(2020 TV Movie),,PG,46,5219,0,
Hop,"Animation, Adventure, Comedy",5.4,"36,161",95 min,-2011,,PG,41,36161,0,
Bocchi the Rock!,"Animation, Comedy, Music",8.3,"3,349",24 min,(2022– ),"Yoshino Aoyama,Sayumi Suzushiro,Saku Mizuno,Ikumi Hasegawa",TV-14,,3349,0,
Blade Runner: Black Lotus,"Animation, Action, Drama",6.3,"3,131",,(2021–2022),"Arisa Shida,Jessica Henwick,Will Yun Lee,Shinshû Fuji",TV-14,,3131,0,
Vermeil in Gold: A Desperate Magician Barges Into the Magical World Alongside the Strongest Calamity,"Animation, Comedy, Fantasy",6.6,"1,375",24 min,(2022– ),"Yuya Hirose,Wakana Kuramochi,Maaya Uchida,Takehito Koyasu",TV-MA,,1375,0,
Legend of the Galactic Heroes,"Animation, Action, Drama",9,"4,201",25 min,(1988–1997),"Yûsaku Yara,Ryô Horikawa,Katsuji Mori,Nozomu Sasaki",TV-MA,,4201,0,
Berserk: The Golden Age Arc - Memorial Edition,"Animation, Action, Adventure",8.4,"1,055",25 min,(2022– ),"Takahiro Sakurai,Hiroaki Iwanaga,Toa Yukinari,Shinji Ogawa",TV-MA,,1055,0,
Banana Fish,"Animation, Action, Adventure",8.2,"7,507",22 min,-2018,"Jun Fukuyama,Toshiyuki Morikawa,Yoshimasa Hosoya,Makoto Furukawa",TV-MA,,7507,0,
The Animatrix,"Animation, Action, Sci-Fi",7.3,"80,812",100 min,-2003,"James Arnold Taylor,Julia Fletcher,Dwight Schultz,Kevin Michael Richardson",Unrated,,80812,0,
Afro Samurai,"Animation, Action, Adventure",7.6,"17,701",26 min,-2007,"Samuel L. Jackson,Phil LaMarr,Yuri Lowenthal,Greg Eagles",TV-MA,,17701,0,
Trigun,"Animation, Action, Adventure",8.2,"23,288",24 min,-1998,"Masaya Onosaka,Hiromi Tsuru,Satsuki Yukino,Johnny Yong Bosch",TV-14,,23288,0,
Cowboy Bebop: The Movie,"Animation, Action, Crime",7.8,"51,308",115 min,-2001,,TV-14,61,51308,0,
FLCL,"Animation, Action, Comedy",8.1,"18,964",151 min,(2000–2001),"Jun Mizuki,Mayumi Shintani,Izumi Kasagi,Suzuki Matsuo",TV-14,,18964,0,
The Future Diary,"Animation, Action, Drama",7.5,"19,059",25 min,(2011–2013),"Brina Palencia,Josh Grelle,Leah Clark,Emily Neves",TV-MA,,19059,0,
Home on the Range,"Animation, Adventure, Comedy",5.4,"24,913",76 min,-2004,,PG,50,24913,0,
KILL la KILL,"Animation, Action, Comedy",7.9,"15,949",25 min,(2013–2014),"Ami Koshimizu,Aya Suzaki,Toshihiko Seki,Shin'ichirô Miki",TV-14,,15949,0,
Ergo Proxy,"Animation, Action, Adventure",7.9,"15,561",25 min,-2006,"Kôji Yusa,Akiko Yajima,Liam O'Brien,Rachel Hirschfeld",TV-14,,15561,0,
Undead Murder Farce,"Animation, Drama, Fantasy",7.6,224,,(2023– ),"Taku Yashiro,Tomoyo Kurosawa,Makoto Koichi,Sayumi Suzushiro",,,224,0,
Only Yesterday,"Animation, Drama, Romance",7.6,"35,313",119 min,-1991,,PG,90,35313,0,
Welcome to Marwen,"Animation, Biography, Comedy",6.2,"25,244",116 min,-2018,,PG-13,40,25244,0,
My Love Story with Yamada-kun at Lv999,"Animation, Comedy, Romance",7.6,"1,430",24 min,-2023,"Inori Minase,Kôki Uchiyama,Abby Trott,Stephen Fu",TV-14,,1430,0,
The Red Turtle,"Animation, Drama, Family",7.5,"37,258",80 min,-2016,,PG,86,37258,0,
Paranoia Agent,"Animation, Drama, Horror",8,"13,392",25 min,-2004,"Shôzô Îzuka,Toshihiko Seki,Mamiko Noto,Michael McConnohie",TV-MA,,13392,0,
Kuroko's Basketball,"Animation, Comedy, Sport",8.2,"10,494",24 min,(2012–2015),"Kenshô Ono,Yoshimasa Hosoya,Yuki Ono,Hirofumi Nojima",TV-14,,10494,0,
Ultraman,"Animation, Action, Adventure",6.8,"2,488",25 min,(2019–2023),"Josh Hutcherson,D.C. Douglas,Tara Sands,Gunnar Sizemore",TV-14,,2488,0,
Rin: Daughters of Mnemosyne,"Animation, Action, Drama",7.1,"2,133",45 min,-2008,"Jamie Marchi,Chris Cason,Mamiko Noto,Rie Kugimiya",TV-MA,,2133,0,
Golden Boy,"Animation, Comedy",8,"6,602",165 min,(1995–1996),"Doug Smith,Matt Greenfield,Mitsuo Iwata,Gorô Naya",Not Rated,,6602,0,
Nana,"Animation, Comedy, Drama",8.5,"4,979",21 min,(2006–2007),"Romi Park,Kaori,Brian Drummond,Toshiyuki Morikawa",TV-MA,,4979,0,
Midori,"Animation, Drama, Horror",6.5,"3,208",47 min,-1992,,Unrated,,3208,0,
Tomodachi Game,"Animation, Drama, Mystery",7.6,"2,739",23 min,(2022– ),"Chiaki Kobayashi,Daiki Hamano,Reina Ueda,David Matranga",TV-14,,2739,0,
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,"Animation, Action, Fantasy",8.9,"21,239",87 min,-2021,,,,21239,0,
To Your Eternity,"Animation, Adventure, Drama",8.4,"9,053",25 min,(2021– ),"Jacob Hopkins,Dorothy Elias-Fahn,Reiji Kawashima,Kenjirô Tsuda",TV-MA,,9053,0,
Death Parade,"Animation, Drama, Mystery",7.9,"18,676",24 min,-2015,"Jamie Marchi,Alex Organ,Asami Seto,Tomoaki Maeno",TV-MA,,18676,0,
The Disastrous Life of Saiki K.,"Animation, Comedy, Fantasy",8.3,"9,520",24 min,(2016–2018),"Hiroshi Kamiya,Daisuke Ono,Nobunaga Shimazaki,Ai Kayano",TV-14,,9520,0,
One Piece: Stampede,"Animation, Action, Adventure",7.5,"7,406",101 min,-2019,,TV-14,,7406,0,
The Return of the King,"Animation, Adventure, Family",5.7,"4,438",98 min,(1980 TV Movie),,Not Rated,,4438,0,
Early Man,"Animation, Adventure, Comedy",6.1,"23,180",89 min,-2018,,PG,68,23180,0,
Belladonna of Sadness,"Animation, Drama, Fantasy",7.3,"7,181",86 min,-1973,,Unrated,70,7181,0,
Initial D: First Stage,"Animation, Action, Comedy",8.4,"3,712",25 min,-1998,"Shin'ichirô Miki,Steve Blum,Scott Menville,Vic Mignogna",TV-PG,,3712,0,
Moriarty the Patriot,"Animation, Crime, Mystery",8,"3,392",23 min,(2020– ),"Sôma Saitô,Aaron Dismuke,Theo Devaney,Ryan Colt Levy",TV-14,,3392,0,
Pom Poko,"Animation, Comedy, Drama",7.3,"32,641",119 min,-1994,,PG,77,32641,0,
How NOT to Summon a Demon Lord,"Animation, Adventure, Comedy",7,"4,210",24 min,(2018– ),"Masaaki Mizunaka,Yû Serizawa,Azumi Waki,Eric Vale",TV-MA,,4210,0,
Synduality: Noir,"Animation, Action, Adventure",7.3,75,24 min,(2023– ),"Aoi Koga,Mao Ichimichi,Nagisa Aoyama,Yûsuke Kobayashi",TV-MA,,75,0,
"Why the Hell are You Here, Teacher!?","Animation, Short, Comedy",6.4,"1,842",12 min,-2019,"Ryôta Suzuki,Toshiki Masuda,Sumire Uesaka,Yûko Gotô",TV-MA,,1842,0,
Sugar Apple Fairy Tale,"Animation, Action, Adventure",6.8,330,25 min,(2023– ),"Yuka Nukui,Celeste Perez,Masaaki Mizunaka,Ivan Jasso",TV-14,,330,0,
Horimiya: The Missing Pieces,"Animation, Comedy, Drama",7.7,316,,-2023,"Marisa Duran,Mauricio Ortiz-Segura,Johnny Yong Bosch,Zeno Robinson",,,316,0,
Call of the Night,"Animation, Comedy, Fantasy",7.4,"2,547",23 min,(2022– ),"Gen Satô,Sora Amamiya,Natalie Rial,Gabriel Regojo",TV-14,,2547,0,
Wicked City,"Animation, Action, Fantasy",6.7,"8,966",82 min,-1987,,Not Rated,,8966,0,
Interspecies Reviewers,"Animation, Comedy, Fantasy",7.3,"1,886",23 min,(2020– ),"Junji Majima,Yûsuke Kobayashi,Miyu Tomita,Mao Ichimichi",TV-MA,,1886,0,
Inspector Gadget,"Animation, Action, Adventure",6.8,"22,486",30 min,(1983–1986),"Don Adams,Holly Berger,Frank Welker,Luc Durand",TV-Y7,,22486,0,
A Whisker Away,"Animation, Adventure, Drama",6.7,"12,578",104 min,-2020,,TV-PG,,12578,0,
Aladdin and the King of Thieves,"Animation, Adventure, Comedy",6.3,"37,198",81 min,(1996 Video),,Not Rated,,37198,0,
Black Butler,"Animation, Action, Comedy",7.7,"8,810",24 min,(2008–2011),"J. Michael Tatum,Michael C. Pizzuto,Brina Palencia,Daisuke Ono",TV-14,,8810,0,
Animaniacs,"Animation, Short, Adventure",7.9,"25,117",21 min,(1993–1998),"Rob Paulsen,Jess Harnell,Tress MacNeille,Frank Welker",TV-Y7,,25117,0,
Trigun Stampede,"Animation, Action, Adventure",7.3,"1,474",24 min,(2023– ),"Yoshitsugu Matsuoka,Johnny Yong Bosch,Sakura Ando,Sarah Roach",TV-14,,1474,0,
Yarichin Bitch Club,"Animation, Comedy, Romance",5.3,555,26 min,(2018–2019),"Ayumu Murase,Yûsuke Kobayashi,Yuki Ono,Daiki Hamano",R,,555,0,
Mushi-Shi,"Animation, Drama, Fantasy",8.5,"14,172",25 min,(2005–2014),"Yûto Nakano,Travis Willingham,Kôjun Itô,Jennifer Seman",TV-14,,14172,0,
"Reborn as a Vending Machine, I Now Wander the Dungeon","Animation, Comedy, Fantasy",6,158,,(2023– ),"Jun Fukuyama,Kaede Hondo,Kazuya Nakai,Shiki Aoki",,,158,0,
Another,"Animation, Drama, Fantasy",7.5,"17,165",300 min,-2012,"Atsushi Abe,Natsumi Takamori,Tomoaki Maeno,Monica Rial",TV-MA,,17165,0,
Angel's Egg,"Animation, Drama, Fantasy",7.6,"11,075",71 min,(1985 Video),,Not Rated,,11075,0,
Wolf Children,"Animation, Drama, Family",8.1,"47,673",117 min,-2012,,PG,71,47673,0,
Terror in Resonance,"Animation, Crime, Drama",7.8,"12,768",23 min,-2014,"Kaito Ishikawa,Sôma Saitô,Atsumi Tanezaki,Shunsuke Sakuya",TV-14,,12768,0,
The Girl Who Leapt Through Time,"Animation, Adventure, Comedy",7.7,"69,151",98 min,-2006,,TV-PG,66,69151,0,
Little Nemo: Adventures in Slumberland,"Animation, Adventure, Comedy",7.1,"7,981",85 min,-1989,,G,,7981,0,
Jin-Roh: The Wolf Brigade,"Animation, Action, Drama",7.3,"18,005",102 min,-1999,,R,59,18005,0,
"More Than a Married Couple, But Not Lovers.","Animation, Comedy, Drama",7.4,"1,660",24 min,-2022,"Ben Balmaceda,Lindsay Sheppard,Mike Haimoto,Macy Anne Johnson",,,1660,0,
Soul Eater,"Animation, Action, Adventure",7.8,"13,877",24 min,(2008–2009),"Laura Bailey,Chiaki Omigawa,Micah Solusod,Brittney Karbowski",TV-14,,13877,0,
Final Fantasy: The Spirits Within,"Animation, Action, Adventure",6.4,"83,365",106 min,-2001,,PG-13,49,83365,0,
Golden Kamuy,"Animation, Action, Adventure",8.1,"2,235",24 min,(2018– ),"Chikahiro Kobayashi,Haruka Shiraishi,Fumihiko Tachiki,Kentarô Itô",TV-MA,,2235,0,
Psycho-Pass: Providence,"Animation, Action, Crime",7,218,120 min,-2023,,R,,218,0,
Ghost in the Shell: Stand Alone Complex,"Animation, Action, Crime",8.5,"20,459",24 min,(2002–2005),"Shirô Saitô,Atsuko Tanaka,Osamu Saka,Mary Elizabeth McGlynn",TV-MA,,20459,0,
My Life as a Teenage Robot,"Animation, Action, Adventure",7,"10,792",23 min,(1999–2023),"Janice Kawaye,Chad Doreck,Candi Milo,Audrey Wasilewski",TV-Y,,10792,0,
Berserk: The Golden Age Arc I - The Egg of the King,"Animation, Action, Adventure",7.5,"13,695",76 min,-2012,,TV-MA,,13695,0,
Dark Gathering,"Animation, Fantasy, Horror",7.1,117,,(2023– ),"Yû Sasahara,Nobunaga Shimazaki,Kana Hanazawa,Yoshihiro Nakamura",TV-MA,,117,0,
TONIKAWA: Over the Moon for You,"Animation, Comedy, Romance",7.7,"4,249",23 min,(2020– ),"Akari Kitô,Junya Enoki,Zach Aguilar,Erika Harlacher",TV-14,,4249,0,
Fate/stay night [Unlimited Blade Works],"Animation, Action, Adventure",8,"8,547",24 min,(2014–2015),"Noriaki Sugiyama,Kana Ueda,Bryce Papenbrook,Mela Lee",TV-14,,8547,0,
Millennium Actress,"Animation, Drama, Fantasy",7.8,"30,438",87 min,-2001,,PG,70,30438,0,
To the Forest of Firefly Lights,"Animation, Drama, Fantasy",7.8,"20,547",45 min,-2011,,,,20547,0,
Ouran High School Host Club,"Animation, Comedy, Romance",8.2,"11,082",24 min,-2006,"Maaya Sakamoto,Mamoru Miyano,Masaya Matsukaze,Ken'ichi Suzumura",TV-14,,11082,0,
One Piece Film: Gold,"Animation, Action, Adventure",7.1,"6,543",124 min,-2016,,TV-14,43,6543,0,
Hellsing,"Animation, Action, Fantasy",7.8,"17,499",23 min,(2001–2002),"Jôji Nakata,Yoshiko Sakakibara,Fumiko Orikasa,Steven Brand",TV-MA,,17499,0,
Saint Seiya: Knights of the Zodiac,"Animation, Action, Adventure",8.5,"10,792",24 min,(1986–1989),"Hideyuki Tanaka,Tôru Furuya,Ryô Horikawa,Kôichi Hashimoto",TV-PG,,10792,0,
One Piece Film Z,"Animation, Action, Adventure",7.7,"8,997",108 min,-2012,,TV-14,,8997,0,
Bee & Puppycat: Lazy in Space,"Animation, Comedy, Sci-Fi",8.6,657,25 min,(2022– ),"Allyn Rachel,Ashly Burch,Alexander James Rodriguez,Terri Hawkes",TV-PG,,657,0,
The Testament of Sister New Devil,"Animation, Action, Comedy",6.6,"3,040",24 min,(2015–2016),"Kaori Fukuhara,Ayaka Asai,Sarah Emi Bridcutt,Yu Asakawa",TV-MA,,3040,0,
Tomo-chan Is a Girl!,"Animation, Comedy, Drama",7.6,"1,820",23 min,-2023,"Rie Takahashi,Kaito Ishikawa,Rina Hidaka,Ricco Fajardo",TV-14,,1820,0,
Toradora!,"Animation, Comedy, Drama",8,"17,595",24 min,(2008–2009),"Rie Kugimiya,Junji Majima,Yui Horie,Hirofumi Nojima",TV-14,,17595,0,
Gamera -Rebirth-,"Animation, Action, Adventure",7.5,67,47 min,(2023– ),"Hisako Kanemoto,Yoshitsugu Matsuoka,Aki Toyosaki,Subaru Kimura",TV-14,,67,0,
Violet Evergarden: The Movie,"Animation, Drama, Fantasy",8.3,"8,957",140 min,-2020,,12A,,8957,0,
Noragami,"Animation, Action, Adventure",7.8,"17,834",24 min,(2014–2015),"Hiroshi Kamiya,Maaya Uchida,Yûki Kaji,Jason Liebrecht",TV-14,,17834,0,
Resident Evil: Vendetta,"Animation, Action, Adventure",6.2,"14,896",97 min,-2017,,R,,14896,0,
Drifting Home,"Animation, Adventure, Drama",6.3,"3,372",119 min,-2022,,PG,59,3372,0,
The Dangers in My Heart,"Animation, Comedy, Drama",7.9,"1,012",23 min,(2023– ),"Shun Horie,Hina Yomiya,Katelyn Barr,Clint Bickham",TV-14,,1012,0,
Puella Magi Madoka Magica,"Animation, Action, Adventure",8.2,"10,711",24 min,-2011,"Aoi Yûki,Chiwa Saitô,Emiri Kato,Cristina Valenzuela",TV-14,,10711,0,
House of Mouse,"Animation, Comedy, Family",7.5,"4,521",30 min,(2001–2003),"Wayne Allwine,Bill Farmer,Rod Roddy,Corey Burton",TV-Y,,4521,0,
Reign of the Seven Spellblades,"Animation, Action, Fantasy",6.5,156,,(2023– ),"Atsushi Tamaru,Yuka Nukui,Misuzu Yamada,Hitomi Ôwada",,,156,0,
Dragon Ball GT,"Animation, Action, Adventure",6.8,"28,100",24 min,(1996–1997),"Elise Baughman,Andrew Chandler,Masako Nozawa,Yûko Minaguchi",TV-PG,,28100,0,
Animal Crossing Christmas Festival: The Movie!,"Animation, Adventure",,,88 min,-2023,,TV-Y,,,0,
Rudolph the Red-Nosed Reindeer,"Animation, Adventure, Comedy",8,"34,987",47 min,(1964 TV Movie),,TV-G,,34987,0,
Resident Evil: Infinite Darkness,"Animation, Action, Horror",5.8,"12,019",26 min,-2021,"Nick Apostolides,Stephanie Panisello,Ray Chase,Jona Xiao",TV-MA,,12019,0,
Evangelion: 1.0 You Are (Not) Alone,"Animation, Action, Drama",7.6,"26,352",98 min,-2007,,PG-13,66,26352,0,
Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,"Animation, Comedy, Fantasy",7.3,"1,297",23 min,(2022– ),"Takeo Otsuka,Kana Ichinose,Fairouz Ai,Jad Saxton",TV-14,,1297,0,
World's End Harem,"Animation, Drama, Romance",5.9,"1,493",24 min,(2021–2022),"Taichi Ichikawa,Haruka Shiraishi,Natsuko Hara,Ayana Taketatsu",TV-MA,,1493,0,
